,date,tweet,hashtags
0,2020-06-01 23:58:20,"What AJK Government has decided about lockdown ?
@farooq_pm
@tariqfarooq60
@mushtaqminhas",[]
1,2020-06-01 23:57:56,I also request @SonuSood  sir please tweets to education minister and state government they can not charge other fees because during the lockdown no one able to pay other changes fees so help us.,[]
2,2020-06-01 23:56:41,"Remember me, the strange feeling!

#lockdown #meme #doctorstrange #high #stoned @ Bengaluru  https://www.instagram.com/p/CA5wk2xliYp/?igshid=1bq0xnonvfr5j …","['#lockdown', '#meme', '#doctorstrange', '#high', '#stoned']"
3,2020-06-01 23:55:39,"An incompetent MVA , their lunatic spokie Raut blaming Centre 😂😂 joke of the year. 
A coalition government couldn't apply curfew and lockdown strictly in Maha due to #appeasment and useless leadership from all 3 parties. No infra, no plans, no management,  only PR . Shame",['#appeasment']
4,2020-06-01 23:54:09,lockdown period lo  pic.twitter.com/gkCwMPo3nj,[]
5,2020-06-01 23:53:59,"69th day of Lockdown
Unite east India ( part 3)
#MotherBengal #Dilse #LifeSeed24
#LifeSeedFoundation
@narendramodi @MamataOfficial @PIB_Patna @incredbleorissa @JharkhandCMO @ndtvindia @abpnewshindi @aajtak @SanmargHindi @Manavj01 @iampj007 @ManishR04379786 https://m.facebook.com/story.php?story_fbid=3553985844628390&id=100000510287638 …","['#motherbengal', '#dilse', '#lifeseed24', '#lifeseedfoundation']"
6,2020-06-01 23:53:14,"@narendramodi @PMOIndia @DrRPNishank Sir, I longwith my friend an employee of IIT kharagpur  distribute cooked food to the effected people due to lockdown  regularly since 27 March to honour u.
#werespectumodijee pic.twitter.com/HYLCgfmVOc",['#werespectumodijee']
7,2020-06-01 23:53:12,"Quality tests , quality PPE , quality treatment at well equipped hospitals to patients/citizens with free of cost nd stay at home means complete lockdown is the only scientific solution to control Coronavirus pandemic , Sir
Please
@OfficialDGISPR
@munirahmedap",[]
8,2020-06-01 23:50:46,Under lockdown @stared work pic.twitter.com/C1oF1Gxm11,[]
9,2020-06-01 23:48:48,"This is update till 18:10 of COVID-19 cases, @MoHFW_INDIA @nishantchat @narendramodi @myogiadityanath @ndtv @aajtak . Now government have to rethink about opening of lockdown because cases are increasing day by day. @ArvindKejriwal ji lockdown kholne mein aur bhi toh badhenge.  pic.twitter.com/WpK53GP6ue",[]
10,2020-06-01 23:46:32,"Ridiculous logic for sealing the borders ! 
Sir do u realise many #Delhiites reside in Mumbai for work & are stuck due to lockdown. 
By ur logic may be they should also be denied medical facilities as Mumbaikars need to be treated first ! 

This is not the way to fight covid 👎  https://twitter.com/ArvindKejriwal/status/1267365012399521792 …",['#delhiites']
11,2020-06-01 23:46:08,Thank you for pointing out my mistake in stating more or less  a million deaths every month instead of a year from all causes.  But I still believe that covid19 has not spread as fast as West and relaxations in lockdown with SOP are needed to protect livelyhood  besides lives.,[]
12,2020-06-01 23:45:55,"Dear Friends,* 
We get to know that in Palghar District in Dahanu areas adivasi families are not working because of covid-19 Lockdown so they are suffering in difficult of Foods, So we have decided to  distrubute in…  https://www.instagram.com/p/CA5vWF3nrLi/?igshid=z0341beidqky …",[]
13,2020-06-01 23:41:08,"#coronavirus #lockdowntussle #mondaythoughts #newsNviews 

People who got engaged in #coronalingus  during lockdown hours :😳 😢😭  pic.twitter.com/v93NlUNtlg","['#coronavirus', '#lockdowntussle', '#mondaythoughts', '#newsnviews', '#coronalingus']"
14,2020-06-01 23:41:02,@RahulGandhi sir it's a request to hear me out for just 5 mins or share an email I'd where I can share details.Sir my background is I have two factories in Navi Mumbai used to employ before lockdown around 300 working men. Apologises.... me first time sending any tweet.,[]
15,2020-06-01 23:41:01,Lockdown Transformation 🤣🤣🤣  pic.twitter.com/TuS898Sejv,[]
16,2020-06-01 23:40:14,"@PMOIndia @CMofKarnataka @BJP4Karnataka @DHFWKA @BBMPCOMM @CovidKarnataka @DIPR_COVID19 respected sir, we request u tat Karnataka should not come on top list #COVID19 case.. keep sum measure of  #lockdown it’s too earlier for relaxation.. safety is first","['#covid19', '#lockdown']"
17,2020-06-01 23:39:04,How many died of hunger in lockdown?,[]
18,2020-06-01 23:38:54,"VinodDua,Ravish Kr,AbhisharSharma,Ajit Anjum,Urmilesh,Prasun Vajpai Sud PickUpIssue  ofArtifactsFoundDuring  levelling inSaketTaking benefit of Lockdown. 125CrAborigines ofIndia rTestingYr Credibility on minorities issues.Lotus Medalian,VotiveStup etc ofBuddhist era hv bn found",[]
19,2020-06-01 23:37:33,"Holiday, people will go out. Some people there think that lockdown is over so they can freely go to parks and other public places.",[]
20,2020-06-01 23:37:07,#doublerainbow #rainbow #lockdown #newdelhi @ The Roseate New Delhi  https://www.instagram.com/p/CA5uVWIJojR/?igshid=spnpkfy4k4ui …,"['#doublerainbow', '#rainbow', '#lockdown', '#newdelhi']"
21,2020-06-01 23:35:34,Maintenance during #lockdown. All scrubbed and cleaned. One coat of #fosroc sealer. Another tomorrow and we hope to refill next day. Can’t wait. We have also cleaned our and re sealed all the domestic water tanks…  https://www.instagram.com/p/CA5uJ-Tgtlk/?igshid=7he6f674wpkz …,"['#lockdown', '#fosroc']"
22,2020-06-01 23:35:16,Are it's okay waise bhi ye lockdown wala birthday hai.,[]
23,2020-06-01 23:35:12,टोटल lockdown,[]
24,2020-06-01 23:32:39,It's absolutely unfortunate to see still migrant people waiting in large queues to reach their destinations even after 2months of lockdown. very well carried out services 😒🙏🏼✌🏼  https://twitter.com/ParasaRajeswari/status/1267407100000571392 … – at Sowcarpet,[]
25,2020-06-01 23:30:57,Haha yeah I’ll only change it once corona has left my city. This is representative of my lockdown mood. :p,[]
26,2020-06-01 23:28:46,"@MumbaiPolice @DGPMaharashtra @PIBMumbai Hi Sir, With new lockdown rules are we allowed to travel Interstate to my native place in Rajasthan in my private car. Are you guys allowing it now as despite repititive application I was not given pass approval.",[]
27,2020-06-01 23:27:39,@CMofKarnataka @BSYBJP @BJP4Karnataka 7am to 7pm was best lockdown system.. instead of 5am to 9pm .. No strictly rules followed To prevent #COVID19 by shopkeepers in #Bangalore pls check Wer the rules are followed properly ??@BBMPCOMM @CovidKarnataka @DHFWKA https://twitter.com/bestbsanjay/status/1267513261538177024 …,"['#covid19', '#bangalore']"
28,2020-06-01 23:27:10,New notification of lockdown 👇  pic.twitter.com/UsZaY4ob3u,[]
29,2020-06-01 23:26:00," https://notionpress.com/read/peering-footprints …

A book written by me during the lockdown. An attempt to look at The Rigveda, River Saraswati & Mohenjo Daro through a single lens.@caanupam7 @caumakant7 @capradeep007 @Prabhat061 @prarthanajalan @Vashisht_",[]
30,2020-06-01 23:25:15,Very crucial time is going on in Assam. COVID 19 and Flood are two burning issues. All types of crops  Destroyed during Lockdown and  right now under water rest of them.  Peoples are waiting for more helps.,[]
31,2020-06-01 23:24:57,"''41crore people have received Rs.53,000crore via DBT during this lockdown from the Modi govt. We have helped all sectors of people.
Women Jan Dhan account holders, Divyangs,old aged&widows, farmers&more needy have all received help from the govt.'':
Shri @AmitShah
#1YearOfModi2",['#1yearofmodi2']
32,2020-06-01 23:23:42,"New vlog Alert 🚨 
Watch and subscribe my YouTube channel 
 https://youtu.be/llqzOtjDpYk 
#vlogger #pakistan #lockdown2020 #lockdown #أمريكا #story","['#vlogger', '#pakistan', '#lockdown2020', '#lockdown', '#أمريكا', '#story']"
33,2020-06-01 23:22:59,Seemed more like she just got out of the lockdown and had to use all her clothes ASAP!!,[]
34,2020-06-01 23:16:45,When I back to home 😂😎due to covid-19 bc😅 I remember this always . miss 5 train this day😏 #2020 #covid19 #lockdown #day #coverourface @ Pune Station  https://www.instagram.com/p/CA5sAUujIT9/?igshid=lu5bsahpmstf …,"['#covid19', '#lockdown', '#day', '#coverourface']"
35,2020-06-01 23:14:56,"What have you decided for people that have lost jobs, business, saving during lockdown. Now that the lockdown is getting lifted where to get money for rent. Now we will be homeless also. Please find solution for this. @PMOIndia",[]
36,2020-06-01 23:14:35,"Hii BRO , HOW ARE YOU IN LOCKDOWN",[]
37,2020-06-01 23:14:03,"#SonuSoodTheRealHero 
Thanks man you done such a great job in this lockdown period",['#sonusoodtherealhero']
38,2020-06-01 23:13:38,"#Rajasthan is all geared up to open for tourists from today. We welcome you back. As we understand the importance of your safety, we are ready with all necessary precautionary measures.

#Rajasthan Tourism #Corona Virus #covid_19 #lockdown #Rajasthan Trip #Rajasthan Travel pic.twitter.com/YzgnFfKu6K","['#rajasthan', '#rajasthan', '#corona', '#covid_19', '#lockdown', '#rajasthan', '#rajasthan']"
39,2020-06-01 23:12:22,"First flex after lockdown.
#newnormal #getfitwithraznishh #tkmmafit #personaltrainer #bodybuilding #fitness #gym #workout #fit #fitfam #muscle #gymlife #training #gymmotivation #lifestyle #health #fitspo #healthy…  https://www.instagram.com/p/CA5rf4nBi8n/?igshid=5hu4wfcrnx1z …","['#newnormal', '#getfitwithraznishh', '#tkmmafit', '#personaltrainer', '#bodybuilding', '#fitness', '#gym', '#workout', '#fit', '#fitfam', '#muscle', '#gymlife', '#training', '#gymmotivation', '#lifestyle', '#health', '#fitspo', '#healthy']"
