,date,tweet,hashtags
30,2020-05-04 23:43:32,"Looking at the way ppl are flouting the lockdown restrictions, this is a probable solution.",[]
31,2020-05-04 23:43:06,@YuluBike Sir yulu ride available in lockdown or not.,[]
32,2020-05-04 23:42:18,"We live in the same neighborhood, yet we didn't flout rules to meet each other for around 50 days due to the national lockdown.
Today, with some relaxation allowed, @kunalkundumusic came to meet me for a while, and…  https://www.instagram.com/p/B_xoq4ngLZT/?igshid=1ikz8o2xoczlp …",[]
33,2020-05-04 23:42:05,"India Inc. welcomes resumption of economic activity in lockdown 3.0
 https://www.thehindu.com/business/Economy/india-inc-welcomes-resumption-of-economic-activity-in-lockdown-30/article31490852.ece …

via NaMo App pic.twitter.com/4bZplRVnGM",[]
34,2020-05-04 23:42:05,India lockdown lifting da asar Vancouver tak!!!,[]
35,2020-05-04 23:42:03,"Govt claimed that abolishing Article 370 & bringing it under President's rule will normalise Kashmir. Now after 9 months of total lockdown of Kashmir, it tells SC that allowing fast internet there cannot be allowed because now situation there is explosiv
#Indian_Muslims_in_danger pic.twitter.com/b3zkb6Eexb",['#indian_muslims_in_danger']
36,2020-05-04 23:41:58,"🌹Best wishes for organizing Webinar in #lockdown for paper industry houses, professionals and authorities. 
@ipma_india @CppriSaharanpur @PMOIndia @DoC_GoI @NPC_INDIA_GOV",['#lockdown']
37,2020-05-04 23:39:56,"If that's how India is going 2 behave then v shouldn't think about lockdown opening any sooner
Dear @PMOIndia 
Revenues are important but not @ the cost of lives.Moreover when people don't understand d difference between need & luxury then it is better 2 b strict then being sorry https://twitter.com/VIVEK42060545/status/1257315817777070081 …",[]
38,2020-05-04 23:39:42,"I was surprised to see such a long queue in front of the wine shop.
To see this I feel  that  there is no point of doing lockdown
But this problem can be eradicated by making all wine shops online.",[]
39,2020-05-04 23:39:28,"Hold my hand and I will take you there someday, somehow and somewhere.
.
.
.
.
.
.
.
.
.
.
.
#Lockdown #OilPastels #AbstractArt #InstaPic #InstaDaily #Experiment #lovepainting #lovetodraw #art #drawing #painting…  https://www.instagram.com/p/B_xoWV8FTPa/?igshid=13ih81yps2jnb …","['#lockdown', '#oilpastels', '#abstractart', '#instapic', '#instadaily', '#experiment', '#lovepainting', '#lovetodraw', '#art', '#drawing', '#painting']"
40,2020-05-04 23:38:04,"Now bihari voters will make lockdown for nitish Kumar by those vote 
Nitish Kumar aakhri baar",[]
41,2020-05-04 23:37:04,"Nitish Kumar aakhri baar 
No more chances for him 
Now bihari public will make lockdown for nitish Kumar by those votes",[]
42,2020-05-04 23:36:49,"Chandranath Hill | Chattogram, Bangladesh 🇧🇩
.
.
#hill #hills #mountains #mountain #chandranath #chandranath_hill #temple #human #lockdown #quarentine #letsguide #localguides #localguidesconnect #googlemaps…  https://www.instagram.com/p/B_xoCdhBync/?igshid=1r7hmfqemnc4m …","['#hill', '#hills', '#mountains', '#mountain', '#chandranath', '#chandranath_hill', '#temple', '#human', '#lockdown', '#quarentine', '#letsguide', '#localguides', '#localguidesconnect', '#googlemaps']"
43,2020-05-04 23:36:17,"When sir Ministry will clarify? Are you okay with time of sending  workers now, when lockdown bigins to open,?  https://twitter.com/Swamy39/status/1257154558557483009 …",[]
44,2020-05-04 23:35:43,"People struggled to get food & essentials during Lockdown.
.
*Liquor store opens for one day.
.
Liquor to other essentials:  pic.twitter.com/AKyG49L4VS",[]
45,2020-05-04 23:35:38,@narendramodi there is no social distance maintained and what th e need ofb45 days lockdown. A big joke and people will die due to this.  pic.twitter.com/WitKrdULaS,[]
46,2020-05-04 23:35:03,When suddenly hear that Punjab Govt will end lockdown on 15th Ramadan  pic.twitter.com/62ZnKFIpMu,[]
47,2020-05-04 23:34:59,"Ik never said he will not order lockdown. 
Only idiots order to lockdown without proper preparation.",[]
48,2020-05-04 23:34:51,"I think in hyderabad they gonna lift lockdown very soon, coz of no new cases is that true ?",[]
49,2020-05-04 23:34:08,"DrGuleria,DirectorAIIMS, Delhi said onNDTV Channel that less no of testing in IndiaDelayed Peak of CoronaCases till June20. In my opinion LockDown 4,5&6 r awaited which wl b stretched upto Bengal&BiharElection and wl end inUPElection of 22.let us C how many ppl die of starvation.",[]
