,date,tweet,hashtags
29,2020-03-25 23:46:31,"I #SatyaPrakashSisodiya and my family will stay in my house for 21 days, following all the rules made by the government under lockdown and also make our neighbors aware.

Thank you 🙏 #MLAMurliMorwal ji for your public awareness tweet.
Jai Hind 🇮🇳 pic.twitter.com/NQxTyJgyy4","['#satyaprakashsisodiya', '#mlamurlimorwal']"
30,2020-03-25 23:46:27,"Evening sky colors from my apartment terrace.
.
.
.
.
.
.
#stayhome #lockdown #bengaluru #shotononeplus6 #staysafe #indialockdown @ Bangalore, India  https://www.instagram.com/p/B-KpWTtHVLk/?igshid=z1dqldjp5xt4 …","['#stayhome', '#lockdown', '#bengaluru', '#shotononeplus6', '#staysafe', '#indialockdown']"
31,2020-03-25 23:45:51,You are now at 3rd position and topping the list of Corona patients. What are you doing. Lockdown US.  https://twitter.com/IvankaTrump/status/1242848831026364416 …,[]
32,2020-03-25 23:45:49,"Cure must not be worst than problem itself,Govt shud prepare action plan for poor people however govt shud hv prepared before announcement of lockdown #21daylockdown @narendramodi @AmitShah #CoronavirusLockdown @myogiadityanath @RakeshSinha01 @sudhirchaudhary @MinhazMerchant https://twitter.com/ravishranjanshu/status/1242819535553486848 …","['#21daylockdown', '#coronaviruslockdown']"
33,2020-03-25 23:45:28,"#IndiaFightsCorona
To avoid setting the nation behind by 21 years, the Govt extends the lockdown to 21 days further from 25th March onwards. 
via NaMo App",['#indiafightscorona']
34,2020-03-25 23:44:37,I didn’t send momsy lockdown money 😩,[]
35,2020-03-25 23:44:36,@PR_Senegal 🙏it’s very best time to lockdown country immideatly and please Arrenge essential commodity will be served at door step of people then people will stay in home only and you can kill viruses 🦠 without any Madicine best way is stay home/ don’t invite viruse in Home🙏,[]
36,2020-03-25 23:44:00,"This man is going to kills us. I want to tell the nation that there are around 50,000 cases of corona in Punjab let alone which are unreported and same is the case in other provinces. We don't have enough vantilaters and public health infrastructure. The only solution is lockdown  https://twitter.com/AmberRShamsi/status/1242787850363572229 …",[]
37,2020-03-25 23:43:50,Good .. tight the lockdown ..one city one strong leader .. we may have miracle ..,[]
38,2020-03-25 23:43:49,"@Uppolice @deoriapolice @yogu @dmdeoria plz can anyone secular any notice regarding timing, place and way how to purchase  vegetables and fruits and other essential goods during lockdown  so that I can go and purchase for my family. kindly provide full information",[]
39,2020-03-25 23:43:08,"CONTRACT WAY OF HANDLING CORONA IN MAHARASHTRA BY THE CHIEF MINISTER AND IN THE COUNTRY BY THE PRIME MINISTER

In the case of Maharashtra. 
In Maharashtra, since ____ day Shri Udhav Thaceray, Chief Minister of Maharashtra, had declared lockdown till 31.03.2020. Suddenly on 24.03",[]
40,2020-03-25 23:41:59,India’s Covid-19 curve flattens slightly as nation goes into lockdown  https://www.livemint.com/news/india/mint-covid-tracker-india-s-covid19-curve-flattens-slightly-as-country-goes-into-lockdown-11585120660572.html …,[]
41,2020-03-25 23:41:17,@FT @ftindianews Please make digital copy free to readers till #Covid-19 threat is over. India is under 21-day lockdown and we are not getting physical copy of FT,['#covid']
42,2020-03-25 23:40:09,"Hmm Many Isp limited their bandwidth to reduce the risk of collapse of their servers

Like MY ISP BSNL is limited the bandwidth to 20mbps on 50mbps plan since lockdown impposed😔",[]
43,2020-03-25 23:39:31,"@sdmdwarka Please share whether marriage certificate application will remain valid during lockdown period or automatically get rejected. Thanks.
@pushpotma @ArvindKejriwal",[]
44,2020-03-25 23:39:07,"Yes, all said & done today our foremost priority must be of  saving every human lives. It's only after we survive, we can live to see our requirements for food/ shelter & other benefits. It's in this background & context that we should fully support our govt for 21 day lockdown.",[]
